"crime_category","crime_head","below_18_years_male","below_18_years_female","below_18_years_total","18_years_and_above_below_30_years_male","18_years_and_above_below_30_years_female","18_years_and_above_below_30_years_total","30_years_and_above_below_45_years_male","30_years_and_above_below_45_years_female","30_years_and_above_below_45_years_total","45_years_and_above_below_60_years_male","45_years_and_above_below_60_years_female","45_years_and_above_below_60_years_total","60_years_and_above_male","60_years_and_above_female","60_years_and_above_total","total_of_overall_age_group_male","total_of_overall_age_group_female","grand_total_of_male_and_female_arrested_including_juveniles"
"IPC","7.2 Kidnaping and Abduction in Order to Murder","7","","7","1018","13","1031","736","15","751","116","5","121","","","","1877","33","1910"
"IPC","7.3 Kidnapping for Ransom","22","1","23","837","11","848","663","11","674","117","2","119","3","","3","1642","25","1667"
"IPC","7.4 Kidnapping and Abduction of Women to Compel her for Marriage","727","5","732","22956","507","23463","10953","576","11529","2522","141","2663","93","7","100","37251","1236","38487"
"IPC","7.5 Other Kidnapping","277","3","280","7503","195","7698","5095","221","5316","1182","70","1252","24","1","25","14081","490","14571"
"IPC","8 Dacoity","300","1","301","9230","72","9302","5591","69","5660","1134","26","1160","59","5","64","16314","173","16487"
"IPC","8.1 Dacoity with Murder","1","","1","188","1","189","107","","107","10","","10","","","","306","1","307"
"IPC","8.2 Other Dacoity","299","1","300","9042","71","9113","5484","69","5553","1124","26","1150","59","5","64","16008","172","16180"
"IPC","9 Making Preparation and Assembly for Committing Dacoity","60","","60","9810","11","9821","4400","11","4411","841","1","842","51","","51","15162","23","15185"
"IPC","10 Robbery","1838","","1838","28395","194","28589","13653","233","13886","2431","53","2484","97","5","102","46414","485","46899"
"IPC","11 Criminal Trespass/Burglary","3597","35","3632","42668","524","43192","25351","562","25913","6136","102","6238","394","10","404","78146","1233","79379"
"IPC","11.1 Criminal Trespass/Burglary","2671","30","2701","32797","340","33137","18460","325","18785","4509","68","4577","223","4","227","58660","767","59427"
"IPC","11.2 House Trespass and House Breaking","926","5","931","9871","184","10055","6891","237","7128","1627","34","1661","171","6","177","19486","466","19952"
"IPC","12 Theft","7831","105","7936","119726","1973","121699","70716","1995","72711","18751","454","19205","970","35","1005","217994","4562","222556"
"IPC","12.1 Auto Theft","2679","","2679","41900","27","41927","22138","28","22166","4812","3","4815","143","","143","71672","58","71730"
"IPC","12.2 Other Thefts","5152","105","5257","77826","1946","79772","48578","1967","50545","13939","451","14390","827","35","862","146322","4504","150826"
"IPC","13 Unlawful Assembly","193","7","200","24129","1315","25444","29071","1654","30725","11766","656","12422","600","84","684","65759","3716","69475"
"IPC","14 Riots","1654","62","1716","136628","5392","142020","102727","6400","109127","35522","2430","37952","3160","314","3474","279691","14598","294289"
"IPC","14.1 Communal","68","2","70","2897","35","2932","1762","44","1806","502","17","519","41","2","43","5270","100","5370"
